e9b942,e0ff8b,1e215f,a4af1f,58d55d,7463cd,84de2d,296e70,6db38a,c5a974,e0f119,f9b787,3602ff,4ffec4,3d3229,a56192,519d4b,8aeae1
146,84,387,414,232,180,1050,117,47,70,37,0,0,2,82,11,8,1
2,7,28,140,147,39,36,24,58,5,24,13,53,86,120,88,19,17
117,18,183,407,0,98,0,13,105,33,61,13,53,88,194,99,27,18
148,91,415,554,379,219,1086,141,105,75,61,13,53,88,202,99,27,18
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
31,73,232,147,379,121,1086,128,0,42,0,0,0,0,8,0,0,0
22,37,201,178,129,27,445,61,52,4,32,5,29,60,125,69,12,9
148,91,415,554,379,219,1086,141,105,75,61,13,53,88,202,99,27,18
126,54,214,376,250,192,641,80,53,71,29,8,24,28,77,30,15,9
