e9b942,e0ff8b,1e215f,a4af1f,58d55d,7463cd,84de2d,296e70,6db38a,c5a974,e0f119,f9b787,3602ff,4ffec4,3d3229,a56192,519d4b,8aeae1
5,2,0,268,24,45,16,21,42,1,31,14,23,31,61,53,12,8
14,5,12,22,48,21,264,6,0,3,0,0,0,0,1,0,0,0
19,7,12,290,72,66,280,27,42,4,31,14,23,31,62,53,12,8
